id,quantity,title,pid,type,description,image,brand_name,amount,date,status,payment_mode,cid,pname,pemail,pphone,pplace,ppost,ppin,pcustomer_type,retailer_name,retailer_email,retailer_phone,retailer_place,retailer_post,retailer_pin
73,1,Dove Soap,18,Personal Care,Care Moisturizing beauty soap,/media/WhatsApp%20Image%202026-03-26%20at%2012.27.45.jpeg,Dove ,55,2026-03-26,Ordered,Cash,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
74,2,Maggi Noodles,12,Packaged Food,Instant noodles pack,/media/Maggi%202-Minute%20Masala%20Noodles%20%E2%80%93%20Quick%2C%20Tasty%20%26%20Comforting.jpeg,Nestle,15,2026-03-26,Ordered,Debit Card,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
75,2,Coffee Powder,20,Beverage,Instant coffee,/media/WhatsApp%20Image%202026-03-26%20at%2012.37.30.jpeg,Nescafe,180,2026-03-26,Ordered,Net Banking,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
76,3,Dry Fruits Mix,21,Snack,"Almonds, cashews mix",/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56.jpeg,Local,250,2026-03-26,Ordered,Cash,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
77,4,Ice Cream Cup,23,Frozen, ice cream,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.57.jpeg,Amul,30,2026-03-26,Ordered,Net Banking,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
78,5,Dry Fruits Mix,21,Snack,"Almonds, cashews mix",/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56.jpeg,Local,250,2026-03-26,Ordered,Net Banking,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
79,1,Cake,22,Bakery,Celebration cake,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56%20(1).jpeg,Local,400,2026-03-26,Ordered,UPI,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
80,2,Cake,22,Bakery,Celebration cake,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56%20(1).jpeg,Local,400,2026-03-26,Ordered,Net Banking,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
81,1,Cake,22,Bakery,Celebration cake,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56%20(1).jpeg,Local,400,2026-03-26,Ordered,Cash,12,Aswathy VK,vkaswathy02@gmail.com,6543219877,kannur,keezhur,670703,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
82,5,Ice Cream Cup,23,Frozen, ice cream,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.57.jpeg,Amul,30,2026-03-26,Ordered,Net Banking,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
83,1,Ice Cream Cup,23,Frozen, ice cream,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.57.jpeg,Amul,30,2026-03-26,Ordered,Net Banking,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
84,2,Dove Soap,18,Personal Care,Care Moisturizing beauty soap,/media/WhatsApp%20Image%202026-03-26%20at%2012.27.45.jpeg,Dove ,55,2026-03-26,Ordered,UPI,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
85,1,Maggi Noodles,12,Packaged Food,Instant noodles pack,/media/Maggi%202-Minute%20Masala%20Noodles%20%E2%80%93%20Quick%2C%20Tasty%20%26%20Comforting.jpeg,Nestle,15,2026-03-26,Ordered,Net Banking,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
86,6,KitKat,17,Chocolate,Wafer chocolate bar,/media/WhatsApp%20Image%202026-03-26%20at%2012.25.26.jpeg,KitKat,25,2026-03-26,Ordered,Net Banking,2,devika,de@gmail.com,4567890987,Thrissur,chalakudi,678909,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
87,2,Ice Cream Cup,23,Frozen, ice cream,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.57.jpeg,Amul,30,2026-03-26,Ordered,Net Banking,2,devika,de@gmail.com,4567890987,Thrissur,chalakudi,678909,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
88,2,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Net Banking,2,devika,de@gmail.com,4567890987,Thrissur,chalakudi,678909,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
89,3,KitKat,17,Chocolate,Wafer chocolate bar,/media/WhatsApp%20Image%202026-03-26%20at%2012.25.26.jpeg,KitKat,25,2026-03-26,Ordered,Net Banking,2,devika,de@gmail.com,4567890987,Thrissur,chalakudi,678909,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
90,1,Coffee Powder,20,Beverage,Instant coffee,/media/WhatsApp%20Image%202026-03-26%20at%2012.37.30.jpeg,Nescafe,180,2026-03-26,Ordered,UPI,2,devika,de@gmail.com,4567890987,Thrissur,chalakudi,678909,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
91,2,Coffee Powder,20,Beverage,Instant coffee,/media/WhatsApp%20Image%202026-03-26%20at%2012.37.30.jpeg,Nescafe,180,2026-03-26,Ordered,Cash,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
92,1,Dry Fruits Mix,21,Snack,"Almonds, cashews mix",/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56.jpeg,Local,250,2026-03-26,Ordered,Cash,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
93,2,KitKat,17,Chocolate,Wafer chocolate bar,/media/WhatsApp%20Image%202026-03-26%20at%2012.25.26.jpeg,KitKat,25,2026-03-26,Ordered,Cash,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
94,1,Cake,22,Bakery,Celebration cake,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56%20(1).jpeg,Local,400,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
95,1,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,UPI,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
96,2,Dove Soap,18,Personal Care,Care Moisturizing beauty soap,/media/WhatsApp%20Image%202026-03-26%20at%2012.27.45.jpeg,Dove ,55,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
97,3,Ice Cream Cup,23,Frozen, ice cream,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.57.jpeg,Amul,30,2026-03-26,Ordered,UPI,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
98,1,Coffee Powder,20,Beverage,Instant coffee,/media/WhatsApp%20Image%202026-03-26%20at%2012.37.30.jpeg,Nescafe,180,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
99,3,Ice Cream Cup,23,Frozen, ice cream,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.57.jpeg,Amul,30,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
100,1,Dry Fruits Mix,21,Snack,"Almonds, cashews mix",/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56.jpeg,Local,250,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
101,2,Dry Fruits Mix,21,Snack,"Almonds, cashews mix",/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56.jpeg,Local,250,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
102,5,Ice Cream Cup,23,Frozen, ice cream,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.57.jpeg,Amul,30,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
103,1,KitKat,17,Chocolate,Wafer chocolate bar,/media/WhatsApp%20Image%202026-03-26%20at%2012.25.26.jpeg,KitKat,25,2026-03-26,Ordered,UPI,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
104,1,Dry Fruits Mix,21,Snack,"Almonds, cashews mix",/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56.jpeg,Local,250,2026-03-26,Ordered,UPI,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
105,3,Ice Cream Cup,23,Frozen, ice cream,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.57.jpeg,Amul,30,2026-03-26,Ordered,UPI,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
106,1,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
107,1,Dove Soap,18,Personal Care,Care Moisturizing beauty soap,/media/WhatsApp%20Image%202026-03-26%20at%2012.27.45.jpeg,Dove ,55,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
108,2,Dove Soap,18,Personal Care,Care Moisturizing beauty soap,/media/WhatsApp%20Image%202026-03-26%20at%2012.27.45.jpeg,Dove ,55,2026-03-26,Ordered,UPI,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
109,2,Coffee Powder,20,Beverage,Instant coffee,/media/WhatsApp%20Image%202026-03-26%20at%2012.37.30.jpeg,Nescafe,180,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
110,1,Dry Fruits Mix,21,Snack,"Almonds, cashews mix",/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56.jpeg,Local,250,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
111,2,Brown Bread,19,Bakery,Healthy brown bread,/media/WhatsApp%20Image%202026-03-26%20at%2012.30.44.jpeg,Britannia,45,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
112,1,Brown Bread,19,Bakery,Healthy brown bread,/media/WhatsApp%20Image%202026-03-26%20at%2012.30.44.jpeg,Britannia,45,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
113,1,Coffee Powder,20,Beverage,Instant coffee,/media/WhatsApp%20Image%202026-03-26%20at%2012.37.30.jpeg,Nescafe,180,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
114,4,Ice Cream Cup,23,Frozen, ice cream,/media/WhatsApp%20Image%202026-03-26%20at%2012.41.57.jpeg,Amul,30,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
115,2,Dove Soap,18,Personal Care,Care Moisturizing beauty soap,/media/WhatsApp%20Image%202026-03-26%20at%2012.27.45.jpeg,Dove ,55,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
116,2,Dry Fruits Mix,21,Snack,"Almonds, cashews mix",/media/WhatsApp%20Image%202026-03-26%20at%2012.41.56.jpeg,Local,250,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
